Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0559336851155523,-0.0292574775004144,-0.038582269070158,0,0,0,0.0968689232942501,1.55445766229564E-05,-8.35277627129627E-08,5.03416975328364E-08,2.70845786958262E-05,-2.70394800027881E-21,1.84598196263772E-05,0,0,0,0,0,0,package://Arm Link Assembly URDF/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Arm Link Assembly URDF/meshes/base_link.STL,,Arm Link 0 Assembly-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.0280957583907159,5.55111512312578E-17,-6.99855560113948E-05,0,0,0,0.0983193966224124,1.82547717455818E-05,8.71939329854497E-21,1.33869460245786E-07,2.74058318008889E-05,-1.01406885991786E-21,1.55837095473524E-05,0,0,0,0,0,0,package://Arm Link Assembly URDF/meshes/link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Arm Link Assembly URDF/meshes/link_1.STL,,Arm Link 1 Assembly-1,Origin_joint_0,Axis_joint_0,joint_0,revolute,0.079005,0.026943,-0.03013,1.5708,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
link_2,0.0460268747012915,-1.89568361008696E-11,-0.0105740057510008,0,0,0,0.086903948381956,2.50307090870512E-05,-1.43077196422158E-13,2.8012365624714E-07,2.64011741968077E-05,-5.79919395302141E-12,1.45038904857528E-05,0,0,0,0,0,0,package://Arm Link Assembly URDF/meshes/link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Arm Link Assembly URDF/meshes/link_2.STL,,Arm Link 2 Assembly-1,Origin_joint_1,Axis_joint_1,joint_1,revolute,0.041,0,0,0,0,0,link_1,0,0,1,0,0,0,0,,,,,,,,
link_3,0.014768277290448,4.02455846426619E-16,5.34514282963389E-05,0,0,0,0.0159210393973333,6.45323964092142E-06,-5.95614289707051E-22,-3.40864893131517E-20,7.34995360383272E-06,5.61423612024314E-23,1.92416901042439E-06,0,0,0,0,0,0,package://Arm Link Assembly URDF/meshes/link_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Arm Link Assembly URDF/meshes/link_3.STL,,Arm Link 3 Assembly-1,Origin_joint_2,Axis_joint_2,joint_2,revolute,0.0829,0,0,0,0,0,link_2,1,0,0,0,0,0,0,,,,,,,,
link_4,0.0342911766987549,-0.00514236007965658,-4.07013616933703E-05,0,0,0,0.169052741201088,3.67510574781382E-05,3.64979870215601E-07,-1.33869450011617E-07,4.03198571736428E-05,-2.04181330736472E-12,3.42114755033317E-05,0,0,0,0,0,0,package://Arm Link Assembly URDF/meshes/link_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Arm Link Assembly URDF/meshes/link_4.STL,,Arm Link 4 Assembly-1,Origin_joint_3,Axis_joint_3,joint_3,revolute,0.03,0,0,0,0,0,link_3,0,0,1,0,0,0,0,,,,,,,,
link_5,0.0280957583907162,1.3392065234541E-15,-6.99855560098959E-05,0,0,0,0.0983193966224124,1.82547717455818E-05,6.67523310858654E-22,1.33869460245804E-07,2.74058318008889E-05,-3.9988945263571E-22,1.55837095473524E-05,0,0,0,0,0,0,package://Arm Link Assembly URDF/meshes/link_5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Arm Link Assembly URDF/meshes/link_5.STL,,Arm Link 5 Assembly-1,Origin_joint_4,Axis_joint_4,joint_4,revolute,0.0939,0,0,0,0,0,link_4,1,0,0,0,0,0,0,,,,,,,,
link_6,0.0139457253464113,-2.77902700851484E-15,3.06339031296739E-05,0,0,0,0.0144705660691709,6.37616734104998E-06,-1.95876369052557E-21,1.22011298777457E-20,7.31082067943671E-06,3.55205493490664E-21,1.88503608602839E-06,0,0,0,0,0,0,package://Arm Link Assembly URDF/meshes/link_6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Arm Link Assembly URDF/meshes/link_6.STL,,Arm Link 6 Assembly-1,Origin_joint_5,Axis_joint_5,joint_5,revolute,0.041,0,0,0,0,0,link_5,0,0,1,0,0,0,0,,,,,,,,
